# visual 73f48661-b4fc-4432-aba9-3190f02a89ae
group_0,group_1,group_2,group_3,group_4,8a8566da-0667-4576-b06e-a418cff2b01a,a6b6f0a2-8289-4a12-b12e-b61f0d324a3d,a77903ba-178c-4119-af8e-6c7555cf7781,f962bcf3-3b29-464d-a7f2-64d2070d7709
HYZ1,MYCU,Unpack,Deluxe Delivery and Unpack,Solid work. The two mrn who came were very efficient and polite. No issues..,5,1,0,0
HYZ2,112C,ROC,Room of Choice Delivery,Nice gentlemen.,5,1,0,0
HYZ2,112C,ROC,Room of Choice Delivery,Two guys carried the NordicTrack box (very heavy) down one flight of stair to the basement. Excellent handling of the large box and knowledge and means to make it down the stairs. Extremely happy with the Room of Choice service.,5,1,0,0
HYZ2,112C,Unpack,Deluxe Delivery and Unpack,"It a frame tv, I was only installed on the ground,I would have preferred my tv installed on the wall",1,1,1,1
HYZ2,MRLS,ROC,Room of Choice Delivery,Delivered as promised right where i wanted it. On time and fast. Perfect,5,1,0,0
HYZ2,MRLS,ROC,Room of Choice Delivery,"The two young men who delivered my BBQ were amazing. Polite, professional and very kind. Thank you!",5,1,0,0
HYZ1,MYCU,ROC,Room of Choice Delivery,,,,,
HYO1,PTCI,Unpack,Deluxe Delivery and Unpack,,,,,
HYZ1,MYCU,Unpack,Deluxe Delivery and Unpack,,,,,
HYZ2,112C,ROC,Room of Choice Delivery,,,,,
HYZ2,112C,Unpack,Deluxe Delivery and Unpack,,,,,
HYZ2,MRLS,ROC,Room of Choice Delivery,,,,,
HYO1,RURN,ROC,Room of Choice Delivery,,,,,
HYE1,ANDR,ROC,Room of Choice Delivery,,,,,
HYC2,DFST,Unpack,Deluxe Delivery and Unpack,,,,,
HYZ1,FLIT,ROC,Room of Choice Delivery,,,,,
HYE1,ANDR,Unpack,Deluxe Delivery and Unpack,,,,,
HYV1,VAVA,ROC,Room of Choice Delivery,,,,,
HYC2,DFST,ROC,Room of Choice Delivery,,,,,

# visual 6c8ea736-81c5-4ab3-b982-04e6f5cb32a3
group_0,8a8566da-0667-4576-b06e-a418cff2b01a,a6b6f0a2-8289-4a12-b12e-b61f0d324a3d,a77903ba-178c-4119-af8e-6c7555cf7781,f7f8bcc0-8b93-42ed-838f-0b658e44c6d3,f962bcf3-3b29-464d-a7f2-64d2070d7709
HYC2,5,10,0,0.09523809523809525,0
HYE1,4,3,0.3333333333333333,0.09523809523809525,1
HYO1,5,4,0,0.09523809523809525,0
HYV1,5,3,0,0.09523809523809525,0
HYZ1,4.529411764705882,17,0.1176470588235294,0.09523809523809525,2
HYZ2,4.2,5,0.2,0.09523809523809525,1
