# visual 6e22d4a4-1796-4c33-8bbc-432ff6389d17
run_datetime


# visual 9dfe57ee-5b38-403c-ba3e-abcf9254a0ee
group_0,group_1,group_2,group_3,actual_service_time_min,tracking_id
HYC2 - DFST,D:R,7,2026-28,2.15,1
HYC2 - DFST,D:R,7,2026-29,4.8,1
HYE1 - ANDR,D:R,7,2026-28,2.83333,1
HYE1 - ANDR,D:R,7,2026-29,14.48333,2
HYE1 - ANDR,U,10,2026-29,23.3,1
HYO1 - RURN,U,10,2026-28,9.31666,1
HYV1 - VAVA,D:R,7,2026-29,11.7624975,4
HYV1 - VAVA,U,10,2026-28,21.73333,1
HYZ1 - FLIT,D:R,7,2026-28,5.216666666666667,3
HYZ1 - FLIT,U,10,2026-29,15.73333,1
HYZ1 - MYCU,D:R,7,2026-28,4,1
HYZ1 - MYCU,D:R,7,2026-29,5.5111099999999995,3
HYZ2 - 112C,D:R,7,2026-28,20.66666,1
HYZ2 - 112C,D:R,7,2026-29,6.420827500000001,4
HYZ2 - 112C,U,10,2026-28,14.66666,1
HYZ2 - 112C,U,10,2026-29,13.06666,1
HYZ2 - MRLS,D:R,7,2026-28,6.566665,2
HYZ2 - MRLS,D:R,7,2026-29,3.924995,2

# visual b19f608e-1f5d-458f-a034-d43e179a98b7
group_0,group_1,group_2,group_3,actual_service_time_min,tracking_id
D:R,Room of Choice Delivery,7,2026-07-01 00:00:00.000,7.572664,25
U,Deluxe Delivery and Unpack,10,2026-07-01 00:00:00.000,16.30277333333333,6

# visual 96b6453b-9c69-4ca9-8046-92975ee8fe31
group_0,group_1,group_2,group_3,group_4,group_5,group_6,delivery_station_code,tracking_id
HYC2,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,1
HYE1,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,1
HYO1,2P,Unpack,U,All,2026-28,2026-07-11 00:00:00.000,20,1
HYV1,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,2
HYV1,2P,Unpack,U,All,2026-28,2026-07-11 00:00:00.000,20,1
HYZ1,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,6
HYZ2,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,3
HYZ2,2P,Unpack,U,All,2026-28,2026-07-11 00:00:00.000,20,1
HYC2,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,1
HYE1,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,1
HYV1,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,2
HYZ1,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,1
HYZ1,2P,Unpack,U,All,2026-29,2026-07-13 00:00:00.000,20,1
HYZ2,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,2
HYZ2,2P,Unpack,U,All,2026-29,2026-07-13 00:00:00.000,20,1
HYE1,2P,ROC,D:R,All,2026-29,2026-07-14 00:00:00.000,20,1
HYE1,2P,Unpack,U,All,2026-29,2026-07-14 00:00:00.000,20,1
HYV1,2P,ROC,D:R,All,2026-29,2026-07-14 00:00:00.000,20,2
HYZ1,2P,ROC,D:R,All,2026-29,2026-07-14 00:00:00.000,20,2
HYZ2,2P,ROC,D:R,All,2026-29,2026-07-14 00:00:00.000,20,4

# visual b4162a7c-e417-4ae1-8a3d-ceeb023c372d
group_0,group_1,group_2,group_3,group_4,group_5,actual_service_time_min,tracking_id
ROC,D:R,Room of Choice Delivery,2P,7,2026-07-01 00:00:00.000,7.572664,25
Unpack,U,Deluxe Delivery and Unpack,2P,10,2026-07-01 00:00:00.000,16.30277333333333,6

# visual 1860be27-4ea9-4210-9bbe-1096fd258e20
group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_21,group_22,country
CA,HYZ2,112C,2026-07-01 00:00:00.000,2026-07-11 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,1000 Mattresses & Mattress Frames,7,20.66666,TBC004954160100,2026-07-11 14:18:36.000,4,2026-07-11 14:39:16.000,17219190-15,17219190-15,AMXL Box Truck (Medium) w/ Helper,A3FXJHHYGZJ8WC,A3FXJHHYGZJ8WC,1,1,31
CA,HYZ2,112C,2026-07-01 00:00:00.000,2026-07-11 00:00:00.000,2P,Unpack,U,Deluxe Delivery and Unpack,1000 Mattresses & Mattress Frames,10,14.66666,TBC004955368100,2026-07-11 17:28:04.000,38,2026-07-11 17:42:44.000,17219190-6,17219190-6,AMXL Box Truck (Medium) w/ Helper,A2IVBH0ZBA752X,A2IVBH0ZBA752X,1,1,31
CA,HYZ2,112C,2026-07-01 00:00:00.000,2026-07-13 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,1000 Mattresses & Mattress Frames,7,13.91666,TBC004960447100,2026-07-13 23:19:44.000,71,2026-07-13 23:33:39.000,17231209-2,17231209-2,AMXL Box Truck (Medium) w/ Helper,A1HEW33DLTLNVD,A1HEW33DLTLNVD,1,1,31
CA,HYZ2,112C,2026-07-01 00:00:00.000,2026-07-13 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,3000 Bedroom Furniture,7,6.26666,TBC004960915100,2026-07-13 17:33:28.000,45,2026-07-13 17:39:44.000,17231209-11,17231209-11,AMXL Box Truck (Medium) w/ Helper,AY2LZFTYCM456,AY2LZFTYCM456,1,1,31
CA,HYZ2,112C,2026-07-01 00:00:00.000,2026-07-13 00:00:00.000,2P,Unpack,U,Deluxe Delivery and Unpack,1000 Mattresses & Mattress Frames,10,13.06666,TBC004960063100,2026-07-13 21:32:24.000,64,2026-07-13 21:45:28.000,17231209-10,17231209-10,AMXL Box Truck (Medium) w/ Helper,A20RZHJQE7G54A,A20RZHJQE7G54A,1,1,31
CA,HYZ2,112C,2026-07-01 00:00:00.000,2026-07-14 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,0100 Televisions,7,1.11666,TBC004964677100,2026-07-14 15:33:14.000,23,2026-07-14 15:34:21.000,17237651-3,17237651-3,AMXL Box Truck (Medium) w/ Helper,AY2LZFTYCM456,AY2LZFTYCM456,1,1,31
CA,HYZ2,112C,2026-07-01 00:00:00.000,2026-07-14 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,0100 Televisions,7,4.38333,TBC004965096100,2026-07-14 20:24:20.000,43,2026-07-14 20:28:43.000,17237651-30,17237651-30,AMXL Box Truck (Medium) w/ Helper,A1HEW33DLTLNVD,A1HEW33DLTLNVD,1,1,31
CA,HYZ2,MRLS,2026-07-01 00:00:00.000,2026-07-11 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,0100 Televisions,7,9.8,TBC004957229100,2026-07-11 20:21:55.000,52,2026-07-11 20:31:43.000,17219190-8,17219190-8,AMXL Box Truck (Medium) w/ Helper,A2TIV18UW75I6N,A2TIV18UW75I6N,1,1,31
CA,HYZ2,MRLS,2026-07-01 00:00:00.000,2026-07-11 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,1000 Mattresses & Mattress Frames,7,3.33333,TBC004955686100,2026-07-11 20:12:50.000,51,2026-07-11 20:16:10.000,17219190-8,17219190-8,AMXL Box Truck (Medium) w/ Helper,A2TIV18UW75I6N,A2TIV18UW75I6N,1,1,31
CA,HYZ2,MRLS,2026-07-01 00:00:00.000,2026-07-14 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,0100 Televisions,7,3.33333,TBC004965097100,2026-07-14 18:33:42.000,39,2026-07-14 18:37:02.000,17237651-8,17237651-8,AMXL Box Truck (Medium) w/ Helper,A1HD7E6MGFYC9U,A1HD7E6MGFYC9U,1,1,31
